"","word","value"
"2594","didactic",0.4
"2595","die",-0.75
"2596","died",-0.5
"2597","dies",-0.8
"2598","diet",-0.25
"2599","difficult",-0.5
"2600","difficulties",-0.5
"2601","difficulty",-0.5
"2602","diffident",-0.6
"2603","digging",-0.25
"2604","dignified",0.5
"2605","dignify",0.8
"2606","dignitary",0.6
"2607","dignity",0.5
"2608","digress",-0.25
"2609","dilapidated",-0.5
"2610","dilemma",-0.5
"2611","diligence",0.5
"2612","diligent",0.5
"2613","diligently",0.6
"2614","dillydallying",-0.4
"2615","dilute",-0.4
"2616","diminish",-0.5
"2617","diminished",-0.6
"2618","din",-0.25
"2619","dinner",0.6
"2620","diplomacy",0.6
"2621","diplomatic",0.5
"2622","dipshit",-1
"2623","dire",-1
"2624","director",0.25
"2625","direful",-1
"2626","dirt",-0.75
"2627","dirtbag",-1
"2628","dirtbags",-1
"2629","dirtcheap",-0.4
"2630","dirtier",-0.8
"2631","dirtiest",-0.8
"2632","dirty",-0.75
"2633","disability",-0.8
"2634","disable",-0.5
"2635","disabled",-0.75
"2636","disabling",-0.8
"2637","disaccord",-0.8
"2638","disadvantage",-0.5
"2639","disadvantaged",-0.5
"2640","disadvantages",-0.8
"2641","disaffected",-0.5
"2642","disagree",-0.5
"2643","disagreeable",-1
"2644","disagreeably",-1
"2645","disagreed",-0.6
"2646","disagreeing",-0.5
"2647","disagreement",-0.5
"2648","disagrees",-0.6
"2649","disallow",-0.6
"2650","disallowed",-0.6
"2651","disappear",-0.6
"2652","disappeared",-0.6
"2653","disappears",-0.6
"2654","disappoint",-1
"2655","disappointed",-1
"2656","disappointing",-1
"2657","disappointingly",-1
"2658","disappointment",-1
"2659","disappointments",-0.75
"2660","disappoints",-0.5
"2661","disapproval",-0.5
"2662","disapprove",-0.75
"2663","disapproved",-1
"2664","disapproving",-0.5
"2665","disarm",-0.6
"2666","disarming",-0.6
"2667","disarray",-1
"2668","disaster",-1
"2669","disasters",-1
"2670","disastrous",-1
"2671","disastrously",-0.5
"2672","disavow",-0.8
"2673","disavowal",-0.8
"2674","disbelief",-0.5
"2675","disbelieve",-0.75
"2676","disbeliever",-0.6
"2677","disbelieving",-0.6
"2678","discard",-0.6
"2679","discarded",-0.6
"2680","discarding",-0.6
"2681","discards",-0.5
"2682","discharge",-0.25
"2683","discipline",-0.25
"2684","disciplined",-0.25
"2685","disclaim",-0.75
"2686","discoloration",-0.6
"2687","discolored",-0.6
"2688","discombobulate",-0.8
"2689","discomfit",-1
"2690","discomfort",-0.5
"2691","disconcert",-1
"2692","disconcerted",-1
"2693","disconcerting",-1
"2694","disconcertingly",-1
"2695","disconnect",-0.6
"2696","disconnected",-0.5
"2697","disconnection",-0.6
"2698","disconsolate",-0.5
"2699","disconsolately",-1
"2700","disconsolation",-0.5
"2701","discontent",-0.5
"2702","discontented",-0.5
"2703","discontentedly",-1
"2704","discontinue",-0.6
"2705","discontinued",-0.6
"2706","discontinuity",-0.5
"2707","discontinuous",-0.6
"2708","discord",-0.75
"2709","discordance",-1
"2710","discordant",-1
"2711","discounted",-0.25
"2712","discountenance",-0.8
"2713","discourage",-0.5
"2714","discouraged",-0.5
"2715","discouragement",-0.5
"2716","discouraging",-1
"2717","discouragingly",-1
"2718","discourteous",-1
"2719","discourteously",-1
"2720","discovery",0.6
"2721","discredit",-0.5
"2722","discredited",-0.8
"2723","discrepancies",-0.6
"2724","discrepancy",-0.6
"2725","discretion",0.6
"2726","discretionary",0.4
"2727","discriminate",-0.5
"2728","discriminating",-0.4
"2729","discrimination",-0.5
"2730","discriminatory",-0.8
"2731","discussion",0.4
"2732","disdain",-0.75
"2733","disdained",-1
"2734","disdainful",-1
"2735","disdainfully",-1
"2736","disdains",-1
"2737","disease",-1
"2738","diseased",-1
"2739","disembodied",-0.5
"2740","disengagement",-0.8
"2741","disfavor",-1
"2742","disfigured",-1
"2743","disgrace",-1
"2744","disgraced",-0.75
"2745","disgraceful",-0.5
"2746","disgracefully",-0.5
"2747","disgruntle",-1
"2748","disgruntled",-0.5
"2749","disguise",-0.25
"2750","disguised",-0.25
"2751","disguises",-0.25
"2752","disguising",-0.25
"2753","disgust",-1
"2754","disgusted",-0.75
"2755","disgustedly",-0.5
"2756","disgustful",-1
"2757","disgustfully",-1
"2758","disgusting",-1
"2759","disgustingly",-1
"2760","disgusts",-1
"2761","dishearten",-0.8
"2762","disheartened",-0.5
"2763","disheartening",-0.5
"2764","dishearteningly",-1
"2765","disheveled",-0.6
"2766","dishonest",-1
"2767","dishonestly",-1
"2768","dishonesty",-0.5
"2769","dishonor",-0.5
"2770","dishonorable",-1
"2771","dishonorably",-1
"2772","disillusion",-0.8
"2773","disillusioned",-0.5
"2774","disillusionment",-0.5
"2775","disillusions",-0.8
"2776","disinclination",-0.8
"2777","disinclined",-0.5
"2778","disinformation",-0.6
"2779","disingenuous",-0.5
"2780","disingenuously",-1
"2781","disintegrate",-0.5
"2782","disintegrated",-0.6
"2783","disintegrates",-0.6
"2784","disintegration",-0.5
"2785","disinterest",-0.6
"2786","disinterested",-0.5
"2787","disjointed",-0.6
"2788","dislike",-1
"2789","disliked",-0.75
"2790","dislikes",-0.8
"2791","disliking",-0.8
"2792","dislocated",-0.5
"2793","disloyal",-1
"2794","disloyalty",-1
"2795","dismal",-0.75
"2796","dismally",-1
"2797","dismalness",-1
"2798","dismantled",-0.6
"2799","dismay",-0.5
"2800","dismayed",-0.75
"2801","dismaying",-1
"2802","dismemberment",-1
"2803","dismissal",-0.5
"2804","dismissing",-0.6
"2805","dismissive",-0.8
"2806","dismissively",-0.8
"2807","disobedience",-0.5
"2808","disobedient",-1
"2809","disobey",-0.5
"2810","disobeyed",-0.8
"2811","disorder",-0.75
"2812","disordered",-0.8
"2813","disorderly",-0.5
"2814","disorganized",-0.75
"2815","disorient",-0.8
"2816","disorientation",-0.8
"2817","disoriented",-0.5
"2818","disown",-0.8
"2819","disparage",-0.75
"2820","disparaged",-1
"2821","disparages",-1
"2822","disparaging",-0.75
"2823","disparagingly",-1
"2824","disparate",-0.6
"2825","disparity",-0.6
"2826","dispassionate",-0.8
"2827","dispel",-0.6
"2828","dispensable",-0.4
"2829","displace",-0.5
"2830","displaced",-0.8
"2831","displease",-0.5
"2832","displeased",-0.75
"2833","displeasing",-1
"2834","displeasure",-0.5
"2835","disposal",-0.4
"2836","disposed",-0.6
"2837","disposing",-0.6
"2838","dispossessed",-1
"2839","disproportionate",-0.4
"2840","disprove",-0.6
"2841","disputable",-0.6
"2842","dispute",-0.75
"2843","disputed",-0.5
"2844","disputes",-0.6
"2845","disputing",-0.6
"2846","disqualification",-0.8
"2847","disqualified",-0.5
"2848","disqualify",-0.8
"2849","disquiet",-0.5
"2850","disquietingly",-0.5
"2851","disregard",-1
"2852","disregarded",-0.5
"2853","disregarding",-0.6
"2854","disregards",-0.6
"2855","disreputable",-0.5
"2856","disrepute",-0.8
"2857","disrespect",-0.75
"2858","disrespected",-0.5
"2859","disrespectful",-0.75
"2860","disrespectfully",-1
"2861","disrespectfulness",-1
"2862","disrespecting",-1
"2863","disrupt",-0.8
"2864","disruption",-0.75
"2865","disruptions",-0.8
"2866","disruptive",-0.5
"2867","dissatisfaction",-0.5
"2868","dissatisfactory",-1
"2869","dissatisfied",-0.75
"2870","dissatisfies",-1
"2871","dissatisfy",-1
"2872","dissatisfying",-1
"2873","dissect",-0.4
"2874","dissemble",-0.25
"2875","dissembler",-0.25
"2876","disseminate",0.25
"2877","dissension",-0.6
"2878","dissent",-0.6
"2879","dissenter",-0.6
"2880","dissenting",-0.6
"2881","disservice",-0.5
"2882","dissidence",-0.6
"2883","dissident",-0.5
"2884","dissidents",-0.6
"2885","dissolute",-0.25
"2886","dissolution",-0.5
"2887","dissonance",-0.5
"2888","dissonant",-1
"2889","dissonantly",-0.25
"2890","dissuade",-0.6
"2891","dissuasive",-0.6
"2892","distaste",-0.5
"2893","distasteful",-0.5
"2894","distastefully",-1
"2895","distended",-0.6
"2896","distinction",0.5
"2897","distinctive",0.5
"2898","distinguished",0.6
"2899","distort",-0.5
"2900","distorted",-0.75
"2901","distorting",-0.6
"2902","distortion",-0.5
"2903","distorts",-0.5
"2904","distract",-0.75
"2905","distracted",-0.5
"2906","distracting",-0.5
"2907","distractingly",-0.8
"2908","distraction",-0.75
"2909","distracts",-0.6
"2910","distraught",-0.75
"2911","distraughtly",-0.25
"2912","distress",-1
"2913","distressed",-1
"2914","distresses",-1
"2915","distressing",-0.75
"2916","distressingly",-1
"2917","distrust",-0.75
"2918","distrustful",-0.5
"2919","distrusting",-1
"2920","disturb",-0.5
"2921","disturbance",-0.75
"2922","disturbed",-0.75
"2923","disturbing",-0.5
"2924","disturbingly",-0.5
"2925","disturbs",-1
"2926","disunity",-0.25
"2927","disuse",-0.6
"2928","disused",-0.6
"2929","disvalue",-0.25
"2930","dithering",-0.8
"2931","divergent",-0.5
"2932","diversion",-0.25
"2933","divested",-0.4
"2934","divestment",-0.4
"2935","divine",1
"2936","divinely",1
"2937","divinity",1
"2938","divisive",-0.6
"2939","divisively",-0.6
"2940","divisiveness",-0.6
"2941","divorce",-1
"2942","dizziness",-0.6
"2943","dizzy",-0.75
"2944","dizzying",-0.4
"2945","dizzyingly",-0.4
"2946","doddering",-0.25
"2947","dodging",-0.25
"2948","dogged",-0.1
"2949","doggedly",-0.25
"2950","dogmatic",-0.4
"2951","doldrums",-0.25
"2952","doles",-0.25
"2953","dolor",-0.25
"2954","domestic",-0.25
"2955","dominant",-0.25
"2956","dominate",0.4
"2957","dominated",0.4
"2958","dominates",0.4
"2959","domination",0.4
"2960","domineer",-0.25
"2961","domineering",-0.25
"2962","donation",0.8
"2963","donkey",-0.25
"2964","doofus",-0.25
"2965","doom",-0.75
"2966","doomed",-1
"2967","doomsday",-0.5
"2968","doornail",-0.25
"2969","dope",-0.25
"2970","dorm",-0.25
"2971","dotingly",0.4
"2972","doubt",-0.75
"2973","doubted",-0.8
"2974","doubtful",-0.75
"2975","doubtfully",-0.5
"2976","doubting",-0.5
"2977","doubtless",0.5
"2978","doubts",-0.5
"2979","douche",-0.5
"2980","douchebag",-1
"2981","douchebags",-1
"2982","dour",-0.5
"2983","doused",-0.4
"2984","dove",0.25
"2985","downcast",-0.75
"2986","downer",-1
"2987","downfall",-0.75
"2988","downgrade",-0.8
"2989","downhearted",-0.5
"2990","downheartedly",-1
"2991","downside",-0.5
"2992","downsides",-0.25
"2993","downturn",-0.8
"2994","downturns",-0.6
"2995","drab",-0.5
"2996","draconian",-0.5
"2997","draconic",-0.25
"2998","drag",-0.5
"2999","dragged",-0.5
"3000","dragging",-0.25
"3001","dragoon",-0.25
"3002","drags",-0.5
"3003","drainage",-0.25
"3004","drained",-0.5
"3005","drama",-0.25
"3006","drastic",-0.4
"3007","drastically",-0.4
"3008","drawback",-0.5
"3009","drawbacks",-0.8
"3010","dread",-0.75
"3011","dreaded",-0.5
"3012","dreadful",-0.75
"3013","dreadfully",-0.5
"3014","dreadfulness",-1
"3015","dreading",-1
"3016","dream",0.25
"3017","dreamland",0.8
"3018","dreams",0.25
"3019","dreamy",1
"3020","dreary",-0.75
"3021","dredged",-0.25
"3022","dressy",0.6
"3023","dripped",-0.4
"3024","dripping",-0.4
"3025","drips",-0.4
"3026","drivel",-1
"3027","drone",-0.4
"3028","drones",-0.4
"3029","drooled",-0.25
"3030","droop",-0.6
"3031","drooping",-0.6
"3032","droops",-0.6
"3033","droopy",-0.6
"3034","droplets",-0.25
"3035","dropout",-0.25
"3036","dropouts",-0.25
"3037","drought",-0.5
"3038","drown",-0.5
"3039","drowned",-0.8
"3040","drowning",-0.5
"3041","drowns",-0.8
"3042","drowse",-0.25
"3043","drowsiness",-0.25
"3044","drudgery",-1
"3045","drug",-0.1
"3046","druggies",-0.6
"3047","drumroll",0.6
"3048","drunk",-0.5
"3049","drunkard",-0.8
"3050","drunken",-0.5
"3051","drunkenly",-0.6
"3052","drunkenness",-0.6
"3053","dualism",-0.25
"3054","dubbed",-0.25
"3055","dubious",-0.75
"3056","dubiously",-0.8
"3057","dubitable",-0.25
"3058","dud",-0.5
"3059","duet",0.4
"3060","dull",-0.75
"3061","dullard",-1
"3062","dumb",-0.75
"3063","dumbass",-1
"3064","dumber",-0.8
"3065","dumbfound",-0.6
"3066","dumbfounded",-0.6
"3067","dumbfounding",-0.6
"3068","dumbly",-0.8
"3069","dummy",-0.5
"3070","dummyproof",-0.25
"3071","dump",-0.5
"3072","dumped",-0.75
"3073","dumping",-0.4
"3074","dumps",-0.75
"3075","dunce",-0.8
"3076","dungeon",-0.5
"3077","dungeons",-0.8
"3078","dupe",-1
"3079","duped",-0.8
"3080","duplicity",-0.8
"3081","durability",0.6
"3082","durable",0.75
"3083","duress",-0.6
"3084","dust",-0.5
"3085","dusty",-0.6
"3086","dutiful",1
"3087","dwarfed",-0.4
"3088","dwindling",-0.6
"3089","dying",-0.5
"3090","dynamic",0.5
"3091","dysentery",-1
"3092","dysfunction",-1
"3093","eager",0.75
"3094","eagerly",0.8
"3095","eagerness",0.75
"3096","earnest",0.75
"3097","earnestly",0.5
"3098","earnestness",0.75
"3099","earshot",-0.25
"3100","earthquake",-0.5
"3101","ease",0.75
"3102","eased",0.6
"3103","easement",0.6
"3104","eases",0.6
"3105","easier",0.8
"3106","easiest",0.8
"3107","easiness",0.8
"3108","easing",0.6
"3109","easy",0.8
"3110","easygoing",0.5
"3111","eat",0.6
"3112","eavesdropping",-0.6
"3113","ebullience",1
"3114","ebullient",1
"3115","ebulliently",1
"3116","eccentric",0.4
"3117","eccentricities",0.4
"3118","eccentricity",0.4
"3119","economic",-0.25
"3120","economical",0.6
"3121","economics",-0.25
"3122","ecstasies",0.8
"3123","ecstasy",0.75
"3124","ecstatic",0.75
"3125","ecstatically",1
"3126","edged",-0.25
"3127","edict",-0.25
"3128","edification",1
"3129","edify",1
"3130","edited",-0.25
"3131","editors",-0.25
"3132","edits",-0.25
"3133","educate",0.8
"3134","educated",0.75
"3135","educational",0.8
"3136","eerie",-1
"3137","eery",-1
"3138","effective",0.8
"3139","effectively",0.5
"3140","effectiveness",0.6
"3141","effectual",0.8
"3142","effeminate",-0.4
"3143","efficacious",0.6
"3144","efficacy",1
"3145","efficiency",0.8
"3146","efficient",0.75
"3147","efficiently",1
"3148","effortless",0.8
"3149","effortlessly",0.8
"3150","effrontery",-0.25
"3151","effusion",0.4
"3152","effusive",0.4
"3153","effusively",0.4
"3154","effusiveness",0.4
"3155","ego",-0.25
"3156","egocentric",-1
"3157","egomania",-1
"3158","egotistical",-0.5
"3159","egotistically",-1
"3160","egregious",-0.5
"3161","egregiously",-0.8
"3162","ejaculation",-0.25
"3163","eject",-0.1
"3164","ejected",-0.1
"3165","ejection",-0.6
"3166","elaboration",0.6
"3167","elate",0.4
"3168","elated",1
"3169","elatedly",0.6
"3170","elation",0.5
"3171","elder",0.4
"3172","elders",0.4
"3173","elect",0.6
"3174","electronics",0.25
"3175","elegance",0.5
"3176","elegant",1
"3177","elegantly",0.5
"3178","elevate",0.6
"3179","elevating",0.6
"3180","eligible",0.8
"3181","eliminated",-0.25
"3182","elimination",-0.5
"3183","elite",0.5
"3184","elixir",-0.25
"3185","eloquence",0.5
"3186","eloquent",0.5
"3187","eloquently",0.8
"3188","elucidate",0.4
"3189","emaciated",-0.75
"3190","emancipation",0.4
"3191","emasculate",-0.6
"3192","emasculation",-0.25
"3193","embargo",-0.8
"3194","embarrass",-0.75
"3195","embarrassed",-0.4
"3196","embarrasses",-0.5
"3197","embarrassing",-0.75
"3198","embarrassingly",-0.5
"3199","embarrassment",-0.5
"3200","embattled",-0.8
"3201","embezzlement",-1
"3202","embittered",-0.5
"3203","emblem",0.4
"3204","embolden",0.8
"3205","embossed",0.4
"3206","embrace",0.5
"3207","embraces",0.8
"3208","embroil",-0.6
"3209","embroiled",-0.5
"3210","embroilment",-0.25
"3211","emergency",-0.75
"3212","emeritus",0.6
"3213","eminence",0.5
"3214","eminent",0.5
"3215","eminently",0.4
"3216","empathetic",0.6
"3217","empathize",0.6
"3218","empathy",0.5
"3219","emphatic",-0.25
"3220","emphatically",-0.25
"3221","empower",0.5
"3222","empowerment",1
"3223","emptiness",-0.5
"3224","empty",-0.25
"3225","emulate",0.4
"3226","enable",0.6
"3227","enabled",0.6
"3228","enabler",-0.4
"3229","enchant",0.5
"3230","enchanted",1
"3231","enchanting",0.5
"3232","enchantingly",1
"3233","encore",0.6
"3234","encounter",-0.25
"3235","encourage",0.75
"3236","encouraged",0.8
"3237","encouragement",0.75
"3238","encourages",0.6
"3239","encouraging",1
"3240","encouragingly",1
"3241","encroach",-0.5
"3242","encroachment",-0.5
"3243","encumbrance",-1
"3244","endanger",-0.5
"3245","endangered",-1
"3246","endear",0.8
"3247","endearing",1
"3248","endeavor",0.25
"3249","endemic",-0.4
"3250","endorse",0.5
"3251","endorsed",0.5
"3252","endorsement",0.5
"3253","endorses",0.5
"3254","endorsing",0.5
"3255","endow",0.6
"3256","endowed",0.6
"3257","endowment",0.6
"3258","endurance",0.6
"3259","endure",0.25
"3260","enduring",0.4
"3261","enemies",-0.5
"3262","enemy",-1
"3263","energetic",0.75
"3264","energize",1
"3265","energyefficient",1
"3266","energysaving",1
"3267","enervate",-0.25
"3268","enfeeble",-1
"3269","enflame",-0.8
"3270","enforcement",-0.5
"3271","engage",0.6
"3272","engaged",0.6
"3273","engages",0.6
"3274","engaging",0.5
"3275","engrossed",0.6
"3276","engrossing",0.6
"3277","engulf",-0.25
"3278","engulfing",-0.25
"3279","enhance",0.5
"3280","enhanced",0.8
"3281","enhancement",0.8
"3282","enhances",0.8
"3283","enjoin",-0.25
"3284","enjoy",0.75
"3285","enjoyable",1
"3286","enjoyably",1
"3287","enjoyed",1
"3288","enjoying",0.75
"3289","enjoyment",1
"3290","enjoys",0.5
"3291","enlighten",0.75
"3292","enlightened",0.5
"3293","enlightening",1
"3294","enlightenment",0.75
"3295","enlightens",1
"3296","enlist",-0.25
"3297","enliven",0.5
"3298","enmity",-0.5
"3299","ennoble",1
"3300","ennui",-0.8
"3301","enough",-0.25
"3302","enrage",-0.5
"3303","enraged",-0.75
"3304","enrages",-1
"3305","enraging",-0.5
"3306","enrapture",0.5
"3307","enrich",0.5
"3308","enrichment",1
"3309","ensconced",0.6
"3310","ensemble",0.6
"3311","enslave",-0.75
"3312","enslaved",-0.5
"3313","enslavement",-1
"3314","enslaves",-0.8
"3315","ensure",0.8
"3316","ensuring",0.8
"3317","entangle",-0.4
"3318","entangled",-0.5
"3319","entanglement",-0.5
"3320","enterprising",0.75
"3321","entertain",0.5
"3322","entertained",0.5
"3323","entertaining",0.75
"3324","entertainment",0.8
"3325","entertains",0.8
"3326","enthrall",1
"3327","enthralled",1
"3328","enthuse",1
"3329","enthusiasm",0.75
"3330","enthusiasms",1
"3331","enthusiast",0.5
"3332","enthusiastic",0.5
"3333","enthusiastically",1
"3334","enthusiasts",0.6
"3335","enticing",0.25
"3336","entitled",-0.25
"3337","entitling",-0.25
"3338","entity",0.4
"3339","entrails",-0.4
"3340","entranced",0.6
"3341","entrancing",0.6
"3342","entrap",-1
"3343","entrapment",-1
"3344","entrust",0.6
"3345","entrusted",0.6
"3346","enveloped",-0.25
"3347","envies",-0.8
"3348","envious",-0.5
"3349","envy",-0.8
"3350","envying",-0.8
"3351","epic",0.8
"3352","epidemic",-0.75
"3353","epilepsy",-0.8
"3354","epitome",-0.25
"3355","equaled",0.6
"3356","equality",0.8
"3357","equally",0.6
"3358","equilibrium",0.4
"3359","equitable",0.8
"3360","equity",1
"3361","equivocal",-0.25
"3362","eradicate",-0.6
"3363","eradication",-0.6
"3364","erase",-0.5
"3365","ergonomical",0.25
"3366","erode",-0.6
"3367","eroded",-0.6
"3368","erodes",-0.6
"3369","erosion",-0.75
"3370","err",-0.5
"3371","errand",-0.4
"3372","errant",-0.5
"3373","erratic",-0.75
"3374","erroneous",-0.75
"3375","erroneously",-0.8
"3376","error",-1
"3377","errors",-0.75
"3378","erudite",0.5
"3379","erupt",-0.4
"3380","erupted",-0.6
"3381","eruption",-0.5
"3382","eruptions",-0.6
"3383","escalate",-0.4
"3384","escape",-0.25
"3385","escapes",-0.25
"3386","escaping",-0.25
"3387","eschew",-0.5
"3388","espionage",-0.6
"3389","esprit",0.8
"3390","essential",0.6
"3391","established",0.4
"3392","esteem",0.6
"3393","esteemed",0.8
"3394","esthetic",0.4
"3395","estranged",-0.5
"3396","ethical",0.75
"3397","ethics",0.4
"3398","euphoria",0.5
"3399","euphoric",0.75
"3400","euphorically",0.8
"3401","euthanasia",-0.4
"3402","evacuate",-0.25
"3403","evacuation",-0.5
"3404","evade",-0.5
"3405","evaporated",-0.25
"3406","evaporating",-0.25
"3407","evasion",-0.5
"3408","evasive",-0.6
"3409","evenly",0.4
"3410","eventful",0.4
"3411","evergreen",0.6
"3412","everlasting",0.75
"3413","evict",-1
"3414","eviction",-0.5
"3415","evident",0.5
"3416","evil",-0.75
"3417","evildoer",-1
"3418","evils",-1
"3419","eviscerate",-0.6
"3420","evocative",-0.4
"3421","evolution",0.25
"3422","exacerbate",-0.5
"3423","exacerbation",-0.8
"3424","exacting",-0.25
"3425","exactingly",0.25
"3426","exaggerate",-0.75
"3427","exaggerated",-0.5
"3428","exaggerates",-0.4
"3429","exaggerating",-0.4
"3430","exaggeration",-0.5
"3431","exalt",0.5
"3432","exaltation",0.5
"3433","exalted",0.75
"3434","exaltedly",0.25
"3435","exalting",0.25
"3436","exasperate",-1
"3437","exasperated",-1
"3438","exasperating",-1
"3439","exasperatingly",-1
"3440","exasperation",-0.75
"3441","excavated",0.25
"3442","excavation",-0.25
"3443","excavations",-0.25
"3444","exceed",0.5
"3445","exceeded",0.4
"3446","exceeding",0.4
"3447","exceedingly",0.6
"3448","exceeds",0.5
"3449","excel",0.75
"3450","excellant",1
"3451","excelled",0.8
"3452","excellence",0.75
"3453","excellency",1
"3454","excellent",1
"3455","excellently",1
"3456","excels",1
"3457","exceptional",0.5
"3458","exceptionally",1
"3459","excess",-0.25
"3460","excessive",-0.8
"3461","excessively",-0.8
"3462","exchange",0.25
"3463","excitable",0.6
"3464","excitation",0.6
"3465","excite",0.75
"3466","excited",0.75
"3467","excitedly",0.8
"3468","excitement",1
"3469","excites",0.6
"3470","exciting",0.75
"3471","excitingly",0.6
"3472","exclude",-0.8
"3473","excluded",-0.5
"3474","excluding",-0.8
"3475","exclusion",-0.75
"3476","excoriate",-0.8
"3477","excrement",-0.8
"3478","excruciating",-0.5
"3479","excruciatingly",-0.5
"3480","excursions",0.4
"3481","excuse",-0.75
"3482","excused",-0.25
"3483","excuses",-0.5
"3484","execrate",-0.8
"3485","execution",-1
"3486","executioner",-0.8
"3487","exemplar",0.8
"3488","exemplary",0.5
"3489","exempt",-0.25
"3490","exemption",-0.25
"3491","exhaust",-0.5
"3492","exhausted",-0.75
"3493","exhausting",-1
"3494","exhaustion",-0.5
"3495","exhausts",-0.8
"3496","exhilarate",1
"3497","exhilarated",1
"3498","exhilarates",1
"3499","exhilarating",0.5
"3500","exhilaratingly",1
"3501","exhilaration",0.5
"3502","exhort",-0.1
"3503","exhortation",0.8
"3504","exigent",-0.25
"3505","exile",-0.5
"3506","exonerate",0.25
"3507","exonerated",0.8
"3508","exonerates",0.8
"3509","exonerating",0.8
"3510","exorbitant",-0.6
"3511","exorbitantly",-0.25
"3512","exorcism",-0.6
"3513","exotic",0.6
"3514","expand",0.1
"3515","expands",0.4
"3516","expanses",0.4
"3517","expansive",0.4
"3518","expatriate",-0.4
"3519","expect",0.4
"3520","expectantly",0.4
"3521","expectation",0.25
"3522","expedient",0.25
"3523","expedite",0.25
"3524","expedition",0.6
"3525","expeditiously",0.6
"3526","expel",-0.75
"3527","expelled",-0.6
"3528","expelling",-0.6
"3529","expels",-0.6
"3530","expend",-0.25
"3531","expenditure",-0.25
"3532","expenses",-0.25
"3533","expensive",-0.25
"3534","experienced",0.6
"3535","expert",0.6
"3536","expertise",0.5
"3537","expertly",0.8
"3538","expire",-0.5
"3539","expired",-0.5
"3540","expletive",-0.4
"3541","explicit",-0.25
"3542","explode",-0.5
"3543","explodes",-0.6
"3544","exploit",-0.5
"3545","exploitation",-1
"3546","exploited",-0.5
"3547","exploiting",-0.5
"3548","exploits",-1
"3549","exploration",0.5
"3550","explorations",0.4
"3551","explorer",0.6
"3552","exploring",0.6
"3553","explosion",-0.6
"3554","explosions",-0.6
"3555","explosive",-0.5
"3556","expose",-0.4
"3557","exposed",-0.5
"3558","exposes",-0.4
"3559","exposing",-0.4
"3560","expressionless",-0.6
"3561","expropriate",-0.6
"3562","expropriation",-0.5
"3563","expulsion",-0.8
"3564","expunge",-0.6
"3565","exquisite",0.5
"3566","exquisitely",0.75
"3567","extend",0.5
"3568","extends",0.4
"3569","extensive",0.5
"3570","exterminate",-0.5
"3571","extermination",-0.5
"3572","extinct",-0.5
"3573","extinguish",-0.75
"3574","extinguished",-0.25
"3575","extol",0.4
"3576","extort",-1
"3577","extortion",-1
"3578","extra",0.4
"3579","extraneous",-0.25
"3580","extraordinarily",0.8
"3581","extraordinary",0.75
"3582","extravagance",0.4
"3583","extravagances",0.4
"3584","extravagant",0.4
"3585","extravagantly",0.4
"3586","extremism",-0.4
"3587","extremist",-0.6
"3588","extremists",-0.6
"3589","extremity",-0.25
"3590","extricate",0.4
"3591","extricated",0.4
"3592","exuberance",0.5
"3593","exuberant",0.5
"3594","exuberantly",0.8
"3595","exult",0.4
"3596","exultant",0.5
"3597","exultantly",0.4
"3598","exultation",0.4
"3599","exultingly",0.4
"3600","eyesore",-1
"3601","fabricate",-0.5
"3602","fabricated",-0.6
"3603","fabrication",-0.5
"3604","fabrications",-0.6
"3605","fabulous",0.5
"3606","fabulously",1
"3607","facedown",-0.6
"3608","facetious",-1
"3609","facetiously",-1
"3610","facilitate",0.25
"3611","facts",0.4
"3612","fad",-0.25
"3613","fade",-0.6
"3614","fag",-0.8
"3615","faggot",-0.8
"3616","faggots",-0.8
"3617","fail",-0.75
"3618","failed",-0.5
"3619","failing",-0.75
"3620","fails",-0.5
"3621","failure",-0.75
"3622","failures",-0.5
"3623","faint",-0.8
"3624","fainthearted",-0.5
"3625","fainting",-0.5
"3626","fair",0.75
"3627","fairly",0.5
"3628","fairness",0.6
"3629","faithful",0.75
"3630","faithfully",0.5
"3631","faithfulness",1
"3632","faithless",-0.5
"3633","fake",-0.75
"3634","faked",-0.8
"3635","fakes",-0.8
"3636","faking",-0.5
"3637","fall",-0.25
"3638","fallacies",-0.8
"3639","fallacious",-0.5
"3640","fallaciously",-1
"3641","fallaciousness",-1
"3642","fallacy",-0.5
"3643","fallen",-0.5
"3644","fallible",-0.8
"3645","falling",-0.75
"3646","fallout",-0.5
"3647","fallow",-0.6
"3648","falls",-0.25
"3649","falsehood",-0.5
"3650","falsely",-0.5
"3651","falsification",-1
"3652","falsified",-1
"3653","falsify",-0.75
"3654","falsity",-0.8
"3655","falter",-0.75
"3656","faltered",-0.8
"3657","fame",0.75
"3658","famed",0.8
"3659","familiar",0.8
"3660","familiarity",0.8
"3661","famine",-0.5
"3662","famished",-0.5
"3663","famous",0.5
"3664","famously",0.5
"3665","fanatic",-0.5
"3666","fanatical",-0.4
"3667","fanatically",-0.4
"3668","fanaticism",-0.6
"3669","fanatics",-0.6
"3670","fancier",0.25
"3671","fanciful",0.8
"3672","fancy",0.5
"3673","fanfare",0.5
"3674","fans",0.6
"3675","fantasized",0.6
"3676","fantastic",0.75
"3677","fantastically",0.6
"3678","fantasy",0.5
"3679","farce",-0.75
"3680","farcical",-0.5
"3681","farcically",-0.25
"3682","farfetched",-0.8
"3683","fascinate",0.5
"3684","fascinated",0.6
